sub_chapter_name,hsn,rate,chapter_name,sub_category_name,category_name
"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",HSN 1521 10 11,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible wax for waxing fresh fruits and vegetables,Carnauba Waxes: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY HEAT IN VACUUM OR IN INERT GAS OR OTHERWISE CHEMICALLY MODIFIED, EXCLUDING THOSE OF HEADING 1516; INEDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OF THIS CHAPTER, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1520 00 00,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"Glycerol, crude; glycerol waters and glycerol lyes",Other vegetable oil and its fats: 
ASBESTOS ,HSN 2524 90 23,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Crysolite,"Fibre raw, beaten or washed or graded to length: "
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY HEAT IN VACUUM OR IN INERT GAS OR OTHERWISE CHEMICALLY MODIFIED, EXCLUDING THOSE OF HEADING 1516; INEDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OF THIS CHAPTER, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1518 00 40,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other vegetable oil and its fats: 
ASBESTOS ,HSN 2524 90 32,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Amphibole,Flakes or powder: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY HEAT IN VACUUM OR IN INERT GAS OR OTHERWISE CHEMICALLY MODIFIED, EXCLUDING THOSE OF HEADING 1516; INEDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OF THIS CHAPTER, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1518 00 19,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Lin seed oil: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY HEAT IN VACUUM OR IN INERT GAS OR OTHERWISE CHEMICALLY MODIFIED, EXCLUDING THOSE OF HEADING 1516; INEDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OF THIS CHAPTER, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1518 00 29,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,"Castor oil, dehydrated: "
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 90 90,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY HEAT IN VACUUM OR IN INERT GAS OR OTHERWISE CHEMICALLY MODIFIED, EXCLUDING THOSE OF HEADING 1516; INEDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OF THIS CHAPTER, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1518 00 11,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Lin seed oil: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY HEAT IN VACUUM OR IN INERT GAS OR OTHERWISE CHEMICALLY MODIFIED, EXCLUDING THOSE OF HEADING 1516; INEDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OF THIS CHAPTER, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1518 00 39,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other vegetable oil and its fats: 
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 90 40,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Imitation  lard of vegetable origin,Other: 
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 90 30,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Imitation  lard of animal origin,Other: 
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 90 20,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Peanut butter,Other: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY HEAT IN VACUUM OR IN INERT GAS OR OTHERWISE CHEMICALLY MODIFIED, EXCLUDING THOSE OF HEADING 1516; INEDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OF THIS CHAPTER, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1518 00 31,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Other vegetable oil and its fats: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDISED, DEHYDRATED, SULPHURISED, BLOWN, POLYMERISED BY HEAT IN VACUUM OR IN INERT GAS OR OTHERWISE CHEMICALLY MODIFIED, EXCLUDING THOSE OF HEADING 1516; INEDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OF THIS CHAPTER, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1518 00 21,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,"Castor oil, dehydrated: "
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 10 29,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Of vegetable origin: 
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 90 10,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Sal fat (processed or refined),Other: 
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 10 22,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Linoxyn,Of vegetable origin: 
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 10 21,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Of vegetable origin: 
ASBESTOS ,HSN 2524 90 19,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,In rock form: 
ASBESTOS ,HSN 2524 90 13,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Crysolite,In rock form: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 90 20,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",High alumina refractory cement,Other hydraulic cements: 
ASBESTOS ,HSN 2524 10 10,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Crocidolite,
ASBESTOS ,HSN 2524 90 11,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Chrysotile,In rock form: 
ASBESTOS ,HSN 2524 90 12,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Amphibole,In rock form: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 20 99,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other: 
ASBESTOS ,HSN 2524 90 14,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Amosite,In rock form: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 20 91,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 90 90,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,Other hydraulic cements: 
"MARGARINE; EDIBLE MIXTURE OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS OR OILS OF THIS CHAPTER, OTHER THAN EDIBLE FATS OR OILS OR THEIR FRACTIONS OF HEADING 1516 ",HSN 1517 10 10,12,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Of animal origin,"Margarine, excluding liquid margarine: "
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 20 29,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Groundnut oil: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 20 21,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Groundnut oil: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 20 31,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Hydrogenated castor oil (opal wax): 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 20 39,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Hydrogenated castor oil (opal wax): 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 20 19,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Cotton seed oil: 
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 10 00,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Animal fats and oils and their fractions,
"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR FRACTIONS, PARTLY OR WHOLLY HYDROGENATED, INTER- ESTERIFIED, RE-ESTERIFIED OR ELADLNISED, WHETHER OR NOT REFINED, BUT NOT FURTHER PREPARED ",HSN 1516 20 11,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Cotton seed oil: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 90 99,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 90 40,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"Fixed vegetable oils of edible grade namely the following: mango kernel oil, mahua oil, rice bran oil",Other: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 90 91,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Other: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 90 30,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"Fixed vegetable oils, namely the following : cardamom oil, chillies/ capsicum oil, turmeric oil, ajwain seed oil, niger seed oil, garlic oil",Other: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 90 10,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"Fixed vegetable oils, namely the following: chul moogra oil, mawra oil, kokam oil, tabacco seed oil, sal oil",Other: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 50 99,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 30 00,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Aluminous cement,Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 90 10,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Sagol, ashmoh",Other hydraulic cements: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 90 20,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"Fixed vegetable oils, namely the following: neem seed oil, karanj oil, silk cotton seed oil,",Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 29 90,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 29 40,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Portland slag cement,Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 29 30,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Portland pozzolana Cement,Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 29 20,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Ordinary portland cement, coloured",Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 29 10,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Ordinary portland cement, dry",Other: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 21 00,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","White cement, whether or not artificially coloured",Portland cement: 
"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS ",HSN 2523 10 00,28,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Cement Clinkers,
"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 2825 ",HSN 2522 20 00,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Slaked lime,
"LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONES, OF A KIND USED FOR THE MANUFACTURE OF LIME OR CEMENT ",HSN 2521 00 90,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,"Limestone flux; Limestone and other calcareous stones, of a kind used for the manufacture of lime or cement: "
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 50 91,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Edible grade,Other: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 50 10,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Crude oil,Seasame oil and its fractions: 
"OTHER FIXED VEGETABLE FATS AND OILS (INCLUDING JOJOBA OIL) AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1515 30 90,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Castor oil and its fractions: 
